CropDistrict,year2015,year2018
NW Plains W,25,1
NW Plains E ,36,3
NW Slopes N,51,2
NW Slopes S,44,5
N Tablelands N,56,5
CW Plains S,25,14
CW Plains N,39,7
CW Slopes N,51,10
CW Slopes S,36,23
C Tablelands N,47,15
C Tablelands S,39,24
Riverina W,12,19
Riverina E,19,27
SW Slopes N,34,34
SW Slopes S,75,61
